Date,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
03/30/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,4786,3805,6021,3470,2771,4344,2474,1822,3357,,,
03/31/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1962,1440,2675,,,,2335,2008,2717,2063,1532,2780,1368,1162,1611,,,
04/01/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1240,1011,1522,1320,1065,1636,,,
04/02/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,2970,2581,3418,1488,1190,1859,1572,1191,2074,,,
04/03/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,2140,1424,3216,,,,1359,1020,1809,,,
04/04/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2592,1651,4067,,,,4465,3402,5861,2263,1924,2661,1917,1294,2840,1126,879,1441
04/05/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3001,2067,4356,2610,2097,3247,4888,4027,5933,2589,1918,3495,2997,2056,4368,,,
04/06/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3397,2376,4857,,,,4919,3717,6509,2618,2098,3268,3117,2336,4159,,,
04/07/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2103,1576,2806,,,,2305,1782,2981,2089,1720,2537,,,,,,
04/08/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1107,851,1439,,,,,,,,,,,,,,,
04/09/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2629,1559,4434,,,,3660,2672,5013,1508,1152,1973,2484,1516,4070,,,
04/10/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2475,1648,3715,,,,3967,3192,4931,1978,1594,2455,1775,1347,2337,,,
04/11/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2379,1711,3310,,,,,,,2337,1790,3051,2301,1561,3393,,,
04/12/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,,,,,,,1090,910,1305
04/13/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,,,,,,,,,
04/14/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1014,848,1211,,,,,,,,,,,,,,,
04/15/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1330,927,1909,,,,,,,,,,1391,1007,1921,,,
04/16/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1558,1191,2037,,,,,,
04/17/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2501,1583,3952,,,,,,,1685,1292,2197,2846,1879,4309,,,
04/18/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3393,2053,5607,,,,4186,3873,4525,2806,1819,4327,3339,1688,6601,,,
04/19/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1150,990,1336,,,,5121,3646,7194,2413,1882,3093,2724,1687,4400,1150,990,1336
04/20/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5164,4211,6334,3221,2739,3788,2435,1688,3512,,,
04/21/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1853,1337,2568,,,,2257,1783,2855,2011,1573,2572,1393,1079,1797,1505,1049,2158
04/22/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1289,993,1675,,,,,,,1227,944,1594,1265,971,1649,,,
04/23/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,3724,2876,4823,2031,1448,2850,2766,1605,4765,,,
04/24/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3943,2523,6162,,,,6012,5056,7149,3192,2599,3921,3499,1820,6728,,,
04/25/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,6390,4995,8174,3535,2463,5074,3217,2097,4935,,,
04/26/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3496,2456,4976,2468,2122,2871,4957,3699,6641,2816,2359,3363,3393,2383,4831,,,
04/27/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1721,1306,2267,,,,,,,1643,1271,2123,,,,1599,1309,1953
04/28/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1852,1251,2743,,,,1709,1472,1983,2561,1684,3892,1594,1071,2373,1231,932,1625
04/29/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1327,1080,1631,,,,,,,1381,1200,1588,1324,1000,1752,,,
04/30/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1293,910,1838,,,,,,,1111,869,1420,1551,1206,1993,1203,913,1585
05/01/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1638,1153,2327,,,,5314,3546,7963,2543,1749,3697,2288,1266,4135,1638,1153,2327
05/02/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3598,2547,5084,,,,5038,3721,6820,3075,2361,4004,4457,3042,6531,1377,1022,1856
05/03/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,4600,3305,6401,2332,1783,3050,3252,2227,4747,,,
05/04/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,2833,2160,3716,2798,1933,4052,,,
05/05/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1177,864,1605,,,,1819,1509,2194,1698,1403,2054,1051,986,1120,1177,864,1605
05/06/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1301,1015,1667,,,,,,,1285,1031,1602,1430,1061,1928,,,
05/07/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2406,1719,3367,,,,2880,2536,3270,2097,1602,2744,2903,1703,4947,,,
05/08/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,4269,3223,5654,2726,2077,3577,2121,1460,3082,,,
05/09/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5224,3657,7461,2605,2090,3248,3644,2429,5467,,,
05/10/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,3905,2886,5284,2573,1942,3409,2701,1764,4137,,,
05/11/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5782,4324,7731,3067,2391,3936,2608,1688,4030,,,
05/12/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,2466,2083,2918,2120,1540,2917,1731,1189,2522,,,
05/13/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,1717,1473,2003,1536,1096,2152,2020,1519,2684,,,
05/14/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3107,1755,5499,,,,4725,3097,7206,2074,1392,3087,3067,1691,5563,,,
05/15/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3061,1809,5180,,,,4464,3068,6495,1882,1397,2533,3620,2111,6208,,,
05/16/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1288,1009,1644,,,,,,,2590,1801,3723,2655,1693,4164,1288,1009,1644
05/17/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3426,2158,5438,,,,4883,3249,7337,2189,1874,2557,,,,,,
05/18/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2970,1978,4459,,,,5163,3863,6901,2567,2115,3117,2323,1756,3072,,,
05/19/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1434,1065,1931,,,,1674,1238,2264,1596,1340,1900,2088,1221,3570,1434,1065,1931
05/20/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1424,1145,1770,,,,,,,1369,1109,1690,1420,1108,1819,,,
05/21/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1595,1125,2260,,,,,,
05/22/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,4035,3016,5400,2318,1927,2788,1624,1150,2295,,,
05/23/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3683,2154,6297,,,,5766,3983,8345,,,,2754,1752,4328,,,
05/24/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2752,1862,4066,,,,,,,2381,1952,2903,2306,1510,3521,,,
05/25/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3180,2111,4791,,,,4557,3592,5781,2499,1915,3261,2793,1874,4161,,,
05/26/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,2185,1975,2417,2135,1669,2730,1364,1254,1483,,,
05/27/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1503,1161,1947,,,,,,,,,,1638,1271,2112,,,
05/28/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1881,1251,2827,,,,3259,2345,4527,1474,1142,1902,1699,1220,2364,,,
05/29/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,4664,3240,6713,,,,3096,2104,4556,,,
05/30/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,2359,1997,2786,2850,2413,3366,,,
05/31/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2865,1798,4566,2618,2187,3133,4498,3525,5739,2217,1574,3123,2254,1428,3559,,,
06/01/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3457,2282,5238,,,,4528,3367,6089,2836,1830,4395,3026,2222,4121,,,
06/02/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,2252,1954,2596,1811,1521,2157,1468,1151,1872,,,
06/03/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,1453,1150,1836,1238,977,1568,1269,1041,1546,,,
06/04/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2140,1324,3459,,,,2854,1810,4500,1283,1058,1556,,,,,,
06/05/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3511,2360,5224,,,,4300,3628,5096,2348,1875,2941,4574,3262,6414,,,
06/06/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3756,2368,5958,,,,5828,4098,8290,2765,2252,3394,3030,1817,5053,,,
06/07/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,3538,2872,4357,1985,1596,2468,,,,,,
06/08/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3942,2533,6135,2472,2062,2963,5901,4306,8087,2733,2155,3467,3943,2948,5273,,,
06/09/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1741,1252,2420,,,,1901,1580,2288,1950,1524,2493,1305,873,1950,,,
06/10/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1611,1213,2140,,,,,,
06/11/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1191,943,1505,,,,,,,,,,1300,1025,1649,,,
06/12/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3043,2056,4506,,,,3834,3227,4555,2030,1531,2692,3339,2312,4823,,,
06/13/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3683,2512,5399,,,,4306,3230,5740,2424,1980,2968,3914,2645,5792,,,
06/14/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4673,2982,7324,,,,6213,4505,8567,3533,2538,4919,3880,2584,5825,,,
06/15/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4319,2948,6328,,,,6263,5027,7804,3427,2683,4378,4639,3005,7163,,,
06/16/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2227,1518,3268,,,,2587,2111,3170,2720,2140,3456,1508,1104,2060,,,
06/17/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1527,1064,2192,,,,1725,1274,2336,1498,1040,2157,1535,1064,2213,,,
06/18/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,6169,4958,7674,1996,1476,2700,,,,,,
06/19/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3949,2581,6042,,,,5412,3816,7675,3286,2399,4500,2930,1985,4324,,,
06/20/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3627,2482,5299,,,,5342,4046,7053,2680,2171,3309,4305,3279,5652,,,
06/21/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3445,2179,5445,,,,4761,3188,7109,2582,1885,3537,,,,,,
06/22/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3901,2525,6026,,,,6119,4818,7772,2982,2247,3956,2923,2123,4025,,,
06/23/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2521,1600,3973,,,,2819,2419,3284,3091,2260,4227,1349,983,1851,2053,1227,3436
06/24/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1407,1085,1825,,,,,,
06/25/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1349,1057,1721,,,,,,,1235,946,1613,1446,1182,1769,,,
06/26/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4226,2775,6433,,,,5888,4414,7853,3120,2358,4129,4244,2796,6441,,,
06/27/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5076,4130,6239,2679,1875,3826,4085,2881,5791,,,
06/28/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5101,3949,6589,3102,2395,4018,3925,2445,6300,,,
06/29/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4592,3192,6605,,,,,,,3902,2939,5180,5065,3593,7138,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,