Date,Day,Daily Mean Travel Time (Seconds),AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
03/30/2017,Thursday,201,222,447,291,417,201
03/31/2017,Friday,295,228,333,309,267,200
04/01/2017,Saturday,194,193,252,234,241,192
04/02/2017,Sunday,272,202,301,249,303,200
04/03/2017,Monday,400,220,492,295,524,204
04/04/2017,Tuesday,206,250,354,307,339,208
04/05/2017,Wednesday,196,249,387,276,339,192
04/06/2017,Thursday,344,246,446,320,333,190
04/07/2017,Friday,305,191,434,277,260,198
04/08/2017,Saturday,189,173,253,230,231,192
04/09/2017,Sunday,274,202,305,249,303,194
04/10/2017,Monday,273,228,343,244,289,198
04/11/2017,Tuesday,301,246,347,282,301,203
04/12/2017,Wednesday,257,245,256,267,234,194
04/13/2017,Thursday,183,212,202,202,232,186
04/14/2017,Friday,207,180,217,201,218,178
04/15/2017,Saturday,198,176,247,221,253,202
04/16/2017,Sunday,272,194,294,247,301,214
04/17/2017,Monday,199,196,323,265,328,200
04/18/2017,Tuesday,192,203,356,357,465,191
04/19/2017,Wednesday,218,262,349,251,465,212
04/20/2017,Thursday,220,303,333,297,404,221
04/21/2017,Friday,199,282,472,319,396,199
04/22/2017,Saturday,229,180,240,229,223,194
04/23/2017,Sunday,279,255,318,249,308,213
04/24/2017,Monday,185,179,413,344,324,186
04/25/2017,Tuesday,402,228,384,360,538,203
04/26/2017,Wednesday,404,215,553,350,408,209
04/27/2017,Thursday,197,190,242,254,236,198
04/28/2017,Friday,194,237,292,231,269,195
04/29/2017,Saturday,204,187,223,202,224,207
04/30/2017,Sunday,213,174,222,210,224,183
05/01/2017,Monday,332,227,344,259,515,190
05/02/2017,Tuesday,209,249,318,258,308,211
05/03/2017,Wednesday,195,263,384,273,382,193
05/04/2017,Thursday,340,190,420,281,386,193
05/05/2017,Friday,267,207,313,267,258,200
05/06/2017,Saturday,181,186,232,218,274,183
05/07/2017,Sunday,261,230,282,243,290,199
05/08/2017,Monday,315,274,338,267,402,190
05/09/2017,Tuesday,213,226,333,281,287,214
05/10/2017,Wednesday,193,236,290,252,295,193
05/11/2017,Thursday,330,234,347,284,393,187
05/12/2017,Friday,209,227,302,267,282,209
05/13/2017,Saturday,185,238,245,242,279,185
05/14/2017,Sunday,195,256,356,247,309,187
05/15/2017,Monday,298,245,316,276,337,200
05/16/2017,Tuesday,327,186,359,265,441,179
05/17/2017,Wednesday,268,225,323,248,261,186
05/18/2017,Thursday,351,274,513,277,360,198
05/19/2017,Friday,279,190,307,273,295,201
05/20/2017,Saturday,193,180,246,222,254,196
05/21/2017,Sunday,259,206,310,243,251,194
05/22/2017,Monday,193,221,385,238,363,191
05/23/2017,Tuesday,197,210,371,306,326,195
05/24/2017,Wednesday,189,210,414,272,300,186
05/25/2017,Thursday,384,221,524,267,537,192
05/26/2017,Friday,192,206,341,289,271,190
05/27/2017,Saturday,223,183,237,217,233,187
05/28/2017,Sunday,266,213,310,242,283,193
05/29/2017,Monday,310,215,427,258,310,188
05/30/2017,Tuesday,304,212,373,254,346,180
05/31/2017,Wednesday,330,280,417,300,321,197
06/01/2017,Thursday,305,396,361,281,266,274
06/02/2017,Friday,195,199,297,269,224,195
06/03/2017,Saturday,225,209,252,208,244,195
06/04/2017,Sunday,253,228,326,230,238,193
06/05/2017,Monday,255,214,255,229,304,195
06/06/2017,Tuesday,275,193,324,217,341,176
06/07/2017,Wednesday,187,202,317,231,275,185
06/08/2017,Thursday,194,235,414,263,265,193
06/09/2017,Friday,234,214,248,235,221,200
06/10/2017,Saturday,183,177,212,223,235,184
06/11/2017,Sunday,204,191,204,196,222,187
06/12/2017,Monday,254,187,292,217,293,182
06/13/2017,Tuesday,272,310,270,229,333,200
06/14/2017,Wednesday,187,195,513,235,507,185
06/15/2017,Thursday,368,263,542,289,421,189
06/16/2017,Friday,196,172,274,239,242,200
06/17/2017,Saturday,186,175,220,204,225,189
06/18/2017,Sunday,182,181,405,226,400,182
06/19/2017,Monday,272,242,336,240,283,196
06/20/2017,Tuesday,214,243,334,267,330,211
06/21/2017,Wednesday,189,226,560,247,388,182
06/22/2017,Thursday,321,238,353,268,436,205
06/23/2017,Friday,200,198,407,233,259,201
06/24/2017,Saturday,210,185,209,200,246,187
06/25/2017,Sunday,202,177,204,196,221,178
06/26/2017,Monday,196,206,379,234,330,187
06/27/2017,Tuesday,288,189,317,256,338,180
06/28/2017,Wednesday,271,252,308,232,306,189
06/29/2017,Thursday,392,228,582,272,549,186